subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
MONDO:0016621,RO:0002200,HP:0000726,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0001272,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432192,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
ClinVarVariant:409,GENO:0000418,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MGI:5304801,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
HGNC:11007,RO:0002200,HP:0001347,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:6294293,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/15190011,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:3605770,RO:0002200,HP:0002171,https://www.ncbi.nlm.nih.gov/pubmed/11062468,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002331,REACT:R-HSA-9022692,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,involved_in,NA,http://purl.obolibrary.org/obo/RO_0002331
MGI:5432191,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
HGNC:11007,RO:0002200,HP:0002340,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0000737,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5617271,RO:0003301,MONDO:0007739,"https://www.ncbi.nlm.nih.gov/pubmed/24728353,23001568",This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MONDO:0016621,RO:0002200,HP:0002072,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5052380,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/15836623,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0003303,MONDO:0016621,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,causes condition,NA,http://purl.obolibrary.org/obo/RO_0003303
MONDO:0007739,RO:0002200,HP:0001332,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5569532,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/22633949,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:3800927,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/19464370,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432177,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/26025364,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5569536,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/9771716,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
HGNC:11007,RO:0002200,HP:0000738,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0031473,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5635161,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:2670626,RO:0002200,HP:0001251,"https://www.ncbi.nlm.nih.gov/pubmed/9949199,21406230",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0002136,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0000739,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2177757,RO:0002200,HP:0001824,"https://www.ncbi.nlm.nih.gov/pubmed/17715336,25609071",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0004408,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0016621,RO:0002200,HP:0002119,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5698523,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/25609071,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3757562,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:2177755,GENO:0000222,MGI:3605769,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
HGNC:4851,RO:0002200,HP:0003487,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5304801,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/22219281,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0002066,"http://purl.obolibrary.org/obo/MONDO_0016621|http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3722277,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/10402204,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
HGNC:4851,RO:0002200,HP:0002169,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2670626,GENO:0000222,MGI:5052308,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
MGI:5432147,RO:0003301,MONDO:0007739,"https://www.ncbi.nlm.nih.gov/pubmed/24269729,27072890,24588402",This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:5569528,GENO:0000222,MGI:5569535,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
MGI:4429156,RO:0002200,HP:0000708,https://www.ncbi.nlm.nih.gov/pubmed/20018729,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0003324,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3757568,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
dbSNP:rs28406206,RO:0003304,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/28642124,This edge comes from the Monarch Initiative 2022.,2022-06-27,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
MGI:3813482,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/18632688,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5052381,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:4437302,RO:0002200,HP:0002171,https://www.ncbi.nlm.nih.gov/pubmed/20018729,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0016621,RO:0002200,HP:0030190,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0002529,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3800779,GENO:0000222,MGI:3800927,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
MGI:4129208,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/21775500,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3043476,RO:0002200,HP:0001288,"https://www.ncbi.nlm.nih.gov/pubmed/11152661,17715336",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0030190,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:243,RO:0003304,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/28642124,This edge comes from the Monarch Initiative 2022.,2022-06-27,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
MGI:4438241,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/20064390,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:5286128,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/21515588,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:2670626,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/9949199,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3586839,RO:0002200,HP:0000752,https://www.ncbi.nlm.nih.gov/pubmed/7774020,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5569532,RO:0002200,HP:0000752,https://www.ncbi.nlm.nih.gov/pubmed/9771716,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0001824,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3605769,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/11062468,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3757568,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/9267033,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:5565691,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/22422149,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0030955,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432177,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/26025364,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
dbSNP:rs3889139,GENO:0000418,HGNC:8161,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MGI:3722277,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MONDO:0007739,RO:0002200,HP:0002312,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11551,RO:0003304,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/28642124,This edge comes from the Monarch Initiative 2022.,2022-06-27,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
MONDO:0007739,RO:0002200,HP:0030842,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0002540,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0004305,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5897176,RO:0002200,HP:0002171,https://www.ncbi.nlm.nih.gov/pubmed/26642438,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:29170,RO:0003304,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/29750799,This edge comes from the Monarch Initiative 2022.,2022-06-27,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
MGI:5635158,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:5565690,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/22422149,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0002355,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
dbSNP:rs72715653,GENO:0000418,HGNC:49222,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
dbSNP:rs72715653,GENO:0000418,HGNC:27731,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
HGNC:4851,RO:0002200,HP:0000734,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2177757,RO:0002200,HP:0002171,https://www.ncbi.nlm.nih.gov/pubmed/11152661,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0016621,RO:0002200,HP:0001332,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0031843,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0002067,"http://purl.obolibrary.org/obo/MONDO_0016621|http://purl.obolibrary.org/obo/MONDO_0054573|http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
dbSNP:rs117933444,GENO:0000418,ENSEMBL:ENSG00000249141,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MONDO:0016621,RO:0002200,HP:0001824,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:21686,RO:0002200,HP:0001332,http://purl.obolibrary.org/obo/MONDO_0013058,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
dbSNP:rs73786719,GENO:0000418,HGNC:21212,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MGI:4429156,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:3800779,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/19464370,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0000751,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0002171,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0001268,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0045082,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2177755,RO:0002200,HP:0002171,https://www.ncbi.nlm.nih.gov/pubmed/11062468,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3573927,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/11152661,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:2671158,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/9949199,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:3699097,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/11494364,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:5432176,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/26025364,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:3694681,RO:0002200,HP:0001824,https://www.ncbi.nlm.nih.gov/pubmed/15935052,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0009088,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:3800927,RO:0002200,HP:0001251,"https://www.ncbi.nlm.nih.gov/pubmed/19464370,24784230,20064390,18550760",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4851,RO:0002200,HP:0000722,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432147,GENO:0000222,MGI:5432190,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
MGI:4438241,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/20064390,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432149,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/15843620,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
dbSNP:rs114688092,GENO:0000418,HGNC:16666,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MGI:1861934,GENO:0000222,MGI:3698039,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
MGI:2177755,RO:0003301,MONDO:0007739,"https://www.ncbi.nlm.nih.gov/pubmed/24019939,31968243",This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
WormBase:WBGene00018294,RO:0003301,MONDO:0007739,http://www.wormbase.org/resources/paper/WBPaper00028912,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
